history	object	algorithm	steps	concurrency	time	violation
ScalObject-msq.0.log	atomic-queue	Enumerate+C	33*	3.8±0.7	5.046s*	false
ScalObject-msq.0.log	atomic-queue	Counting(4)	33*	3.8±0.7	5.2891s*	false
ScalObject-msq.0.log	atomic-queue	Counting(4)+R	33*	3.8±0.7	5.2895s*	false
ScalObject-msq.0.log	atomic-queue	Symbolic	38*	3.9±0.7	6.3322s*	false
ScalObject-msq.0.log	atomic-queue	Symbolic+R	38*	3.9±0.7	6.4032s*	false
ScalObject-msq.0.log	atomic-queue	Saturate	305*	3.2±0.9	5.0048s*	false
ScalObject-msq.0.log	atomic-queue	Saturate+R	2897*	3.0±0.9	5.0045s*	false
ScalObject-msq.1.log	atomic-queue	Enumerate+C	17*	3.4±1.6	5.0182s*	false
ScalObject-msq.1.log	atomic-queue	Counting(4)	31*	3.5±1.3	5.1432s*	false
ScalObject-msq.1.log	atomic-queue	Counting(4)+R	59*	4.0±1.4	5.6174s*	false
ScalObject-msq.1.log	atomic-queue	Symbolic	34*	3.5±1.3	6.3642s*	false
ScalObject-msq.1.log	atomic-queue	Symbolic+R	76*	3.9±1.3	5.3657s*	false
ScalObject-msq.1.log	atomic-queue	Saturate	300*	3.7±1.1	5.0101s*	false
ScalObject-msq.1.log	atomic-queue	Saturate+R	1022*	3.6±1.0	5.0009s*	false
ScalObject-msq.2.log	atomic-queue	Enumerate+C	18*	3.2±1.7	5.0115s*	false
ScalObject-msq.2.log	atomic-queue	Counting(4)	31*	3.4±1.7	5.3831s*	false
ScalObject-msq.2.log	atomic-queue	Counting(4)+R	84*	3.5±1.5	8.2923s*	false
ScalObject-msq.2.log	atomic-queue	Symbolic	33*	3.3±1.7	5.7902s*	false
ScalObject-msq.2.log	atomic-queue	Symbolic+R	85*	3.5±1.5	5.8454s*	false
ScalObject-msq.2.log	atomic-queue	Saturate	315*	3.5±1.0	5.0121s*	false
ScalObject-msq.2.log	atomic-queue	Saturate+R	1258*	3.2±1.2	5.0031s*	false
ScalObject-msq.3.log	atomic-queue	Enumerate+C	48*	1.0±0.0	5.119s*	false
ScalObject-msq.3.log	atomic-queue	Counting(4)	32*	1.0±0.0	6.2481s*	false
ScalObject-msq.3.log	atomic-queue	Counting(4)+R	260*	1.0±0.0	5.006s*	false
ScalObject-msq.3.log	atomic-queue	Symbolic	50*	1.0±0.0	5.723s*	false
ScalObject-msq.3.log	atomic-queue	Symbolic+R	774*	1.0±0.0	5.0093s*	false
ScalObject-msq.3.log	atomic-queue	Saturate	298*	1.0±0.0	5.0043s*	false
ScalObject-msq.3.log	atomic-queue	Saturate+R	1283*	1.5±1.1	5.0071s*	false
ScalObject-msq.4.log	atomic-queue	Enumerate+C	48*	1.0±0.0	5.0694s*	false
ScalObject-msq.4.log	atomic-queue	Counting(4)	32*	1.0±0.0	5.2082s*	false
ScalObject-msq.4.log	atomic-queue	Counting(4)+R	126*	1.0±0.0	5.5069s*	false
ScalObject-msq.4.log	atomic-queue	Symbolic	50*	1.0±0.0	5.7074s*	false
ScalObject-msq.4.log	atomic-queue	Symbolic+R	168*	1.0±0.0	5.1072s*	false
ScalObject-msq.4.log	atomic-queue	Saturate	306*	1.0±0.0	5.0084s*	false
ScalObject-msq.4.log	atomic-queue	Saturate+R	1933*	1.6±1.2	5.0106s*	false
ScalObject-msq.5.log	atomic-queue	Enumerate+C	32*	3.4±1.1	5.0109s*	false
ScalObject-msq.5.log	atomic-queue	Counting(4)	34*	3.4±1.1	6.7488s*	false
ScalObject-msq.5.log	atomic-queue	Counting(4)+R	70*	3.6±0.9	5.465s*	false
ScalObject-msq.5.log	atomic-queue	Symbolic	38*	3.5±1.1	6.5725s*	false
ScalObject-msq.5.log	atomic-queue	Symbolic+R	82*	3.7±0.9	5.0491s*	false
ScalObject-msq.5.log	atomic-queue	Saturate	310*	3.6±0.8	5.0024s*	false
ScalObject-msq.5.log	atomic-queue	Saturate+R	1186*	3.7±1.1	5.0054s*	false
ScalObject-msq.6.log	atomic-queue	Enumerate+C	17*	3.6±1.4	5.0033s*	false
ScalObject-msq.6.log	atomic-queue	Counting(4)	28*	4.5±1.6	5.6365s*	false
ScalObject-msq.6.log	atomic-queue	Counting(4)+R	28*	4.5±1.6	5.6205s*	false
ScalObject-msq.6.log	atomic-queue	Symbolic	31*	4.5±1.5	5.5641s*	false
ScalObject-msq.6.log	atomic-queue	Symbolic+R	31*	4.5±1.5	5.5682s*	false
ScalObject-msq.6.log	atomic-queue	Saturate	293*	4.1±1.0	5.0099s*	false
ScalObject-msq.6.log	atomic-queue	Saturate+R	1234*	3.6±1.1	5.0112s*	false
?	?	?	?	?	?	?
ScalObject-msq.7.log	atomic-queue	Counting(4)	30*	3.1±1.0	5.1873s*	false
ScalObject-msq.7.log	atomic-queue	Counting(4)+R	68*	3.0±0.8	5.2691s*	false
ScalObject-msq.7.log	atomic-queue	Symbolic	34*	3.1±1.0	5.3019s*	false
ScalObject-msq.7.log	atomic-queue	Symbolic+R	74*	3.0±0.7	5.3652s*	false
ScalObject-msq.7.log	atomic-queue	Saturate	316*	3.6±1.1	5.0022s*	false
ScalObject-msq.7.log	atomic-queue	Saturate+R	1166*	3.8±1.1	5.001s*	false
ScalObject-msq.8.log	atomic-queue	Enumerate+C	15*	3.2±1.0	5.0112s*	false
ScalObject-msq.8.log	atomic-queue	Counting(4)	30*	3.4±0.8	7.6019s*	false
ScalObject-msq.8.log	atomic-queue	Counting(4)+R	76*	3.5±1.0	5.4786s*	false
ScalObject-msq.8.log	atomic-queue	Symbolic	33*	3.2±0.9	5.4463s*	false
ScalObject-msq.8.log	atomic-queue	Symbolic+R	97*	3.5±0.9	5.1479s*	false
ScalObject-msq.8.log	atomic-queue	Saturate	294*	3.5±1.2	5.0061s*	false
ScalObject-msq.8.log	atomic-queue	Saturate+R	1219*	3.6±1.1	5.0056s*	false
ScalObject-msq.9.log	atomic-queue	Enumerate+C	18*	3.2±0.8	5.0034s*	false
ScalObject-msq.9.log	atomic-queue	Counting(4)	31*	3.2±0.6	5.8918s*	false
ScalObject-msq.9.log	atomic-queue	Counting(4)+R	52*	2.9±0.7	5.6085s*	false
ScalObject-msq.9.log	atomic-queue	Symbolic	36*	3.2±0.6	5.8907s*	false
ScalObject-msq.9.log	atomic-queue	Symbolic+R	71*	3.1±0.8	5.0717s*	false
ScalObject-msq.9.log	atomic-queue	Saturate	299*	3.4±1.0	5.0044s*	false
ScalObject-msq.9.log	atomic-queue	Saturate+R	2250*	3.5±1.1	5.0035s*	false
ScalObject-msq.0.log	atomic-queue	Enumerate+C	36*	3.8±0.7	25.0142s*	false
ScalObject-msq.0.log	atomic-queue	Counting(4)	33*	3.8±0.7	39.3528s*	false
ScalObject-msq.0.log	atomic-queue	Counting(4)+R	41*	3.8±0.8	30.7988s*	false
ScalObject-msq.0.log	atomic-queue	Symbolic	50*	3.8±1.0	45.87s*	false
ScalObject-msq.0.log	atomic-queue	Symbolic+R	137*	3.4±0.9	25.1176s*	false
ScalObject-msq.0.log	atomic-queue	Saturate	503*	3.2±0.9	25.108s*	false
ScalObject-msq.0.log	atomic-queue	Saturate+R	4243*	3.0±0.9	25.0033s*	false
ScalObject-msq.1.log	atomic-queue	Enumerate+C	17*	3.4±1.6	25.0078s*	false
